"STATION","DATE","AWND","PRCP","SNOW","TMAX","TMIN"
"USW00054790","2023-01-01","7.61","0.05",,"55","36"
"USW00054790","2023-01-02","2.68","0.00",,"53","35"
"USW00054790","2023-01-03","7.16","0.32",,"55","45"
"USW00054790","2023-01-04","5.82","0.13",,"62","49"
"USW00054790","2023-01-05","3.13","0.02",,"52","43"
"USW00054790","2023-01-06","2.01","0.15",,"46","40"
"USW00054790","2023-01-07","5.37","0.01",,"45","31"
"USW00054790","2023-01-08","4.70","0.00",,"40","28"
"USW00054790","2023-01-09","4.70","0.00",,"44","28"
"USW00054790","2023-01-10","4.25","0.00",,"43","26"
"USW00054790","2023-01-11","3.13","0.00",,"40","31"
"USW00054790","2023-01-12","8.72","0.38",,"57","36"
"USW00054790","2023-01-13","14.32","0.19",,"57","39"
"USW00054790","2023-01-14","16.78","0.00",,"39","32"
"USW00054790","2023-01-15","16.78","0.00",,"42","31"
"USW00054790","2023-01-16","13.65","0.00",,"42","29"
"USW00054790","2023-01-17","5.37","0.00",,"45","27"
"USW00054790","2023-01-18","10.51","0.00",,"54","40"
"USW00054790","2023-01-19","4.92","0.90",,"50","33"
"USW00054790","2023-01-20","9.40","0.00",,"49","38"
"USW00054790","2023-01-21","6.04","0.00",,"41","34"
"USW00054790","2023-01-22","1.57","0.53",,"41","34"
"USW00054790","2023-01-23","10.74","0.53",,"42","34"
"USW00054790","2023-01-24","11.63","0.00",,"46","33"
"USW00054790","2023-01-25","6.49","1.08",,"57","27"
"USW00054790","2023-01-26","14.76","0.43",,"56","40"
"USW00054790","2023-01-27","4.25","0.00",,"45","28"
"USW00054790","2023-01-28","7.61","0.00",,"52","26"
"USW00054790","2023-01-29","7.61","0.00",,"51","30"
"USW00054790","2023-01-30","4.03","0.00",,"54","35"
"USW00054790","2023-01-31","6.93","0.03",,"44","31"
"USW00054790","2023-02-01","5.14","0.01",,"36","25"
"USW00054790","2023-02-02","5.59","0.00",,"39","19"
"USW00054790","2023-02-03","20.13","0.00",,"35","7"
"USW00054790","2023-02-04","10.29","0.00",,"30","1"
"USW00054790","2023-02-05","10.51","0.00",,"44","30"
"USW00054790","2023-02-06","8.72","0.00",,"53","30"
"USW00054790","2023-02-07","6.93","0.07",,"41","25"
"USW00054790","2023-02-08","7.83","0.00",,"52","31"
"USW00054790","2023-02-09","5.59","0.00",,"55","27"
"USW00054790","2023-02-10","13.42","0.00",,"62","45"
"USW00054790","2023-02-11","9.40","0.00",,"46","28"
"USW00054790","2023-02-12","2.68","0.10",,"47","25"
"USW00054790","2023-02-13","9.17","0.02",,"54","37"
"USW00054790","2023-02-14","9.84","0.00",,"53","35"
"USW00054790","2023-02-15","10.51","0.00",,"58","34"
"USW00054790","2023-02-16","4.92","0.05",,"71","46"
"USW00054790","2023-02-17","12.75","0.23",,"55","31"
"USW00054790","2023-02-18","9.84","0.00",,"41","26"
"USW00054790","2023-02-19","7.61","0.00",,"49","31"
"USW00054790","2023-02-20","6.26","0.00",,"61","45"
"USW00054790","2023-02-21","6.26","0.27",,"47","36"
"USW00054790","2023-02-22","4.25","0.08",,"46","27"
"USW00054790","2023-02-23","4.92","0.01",,"44","38"
"USW00054790","2023-02-24","13.87","0.01",,"47","25"
"USW00054790","2023-02-25","3.80","0.00",,"29","20"
"USW00054790","2023-02-26","4.47","0.00",,"42","18"
"USW00054790","2023-02-27","6.04","0.19",,"43","24"
"USW00054790","2023-02-28","5.82","0.37",,"40","29"
"USW00054790","2023-03-01","5.37","0.01",,"43","24"
"USW00054790","2023-03-02","8.05","0.00",,"51","38"
"USW00054790","2023-03-03","6.49","0.05",,"47","28"
"USW00054790","2023-03-04","10.74","1.05",,"44","36"
"USW00054790","2023-03-05","7.61","0.00",,"54","32"
"USW00054790","2023-03-06","10.51","0.00",,"53","36"
"USW00054790","2023-03-07","16.11","0.00",,"49","31"
"USW00054790","2023-03-08","15.66","0.00",,"46","29"
"USW00054790","2023-03-09","11.41","0.00",,"51","32"
"USW00054790","2023-03-10","4.25","0.22",,"46","29"
"USW00054790","2023-03-11","7.83","0.08",,"45","35"
"USW00054790","2023-03-12","6.71","0.00",,"47","30"
"USW00054790","2023-03-13","6.26","1.46",,"45","40"
"USW00054790","2023-03-14","17.00","0.67",,"46","33"
"USW00054790","2023-03-15","19.69","0.00",,"47","34"
"USW00054790","2023-03-16","7.61","0.00",,"55","29"
"USW00054790","2023-03-17","7.61","0.00",,"52","36"
"USW00054790","2023-03-18","9.17","0.03",,"52","42"
"USW00054790","2023-03-19","13.87","0.00",,"42","28"
"USW00054790","2023-03-20","6.71","0.00",,"45","23"
"USW00054790","2023-03-21","8.28","0.00",,"57","31"
"USW00054790","2023-03-22","7.83","0.00",,"56","32"
"USW00054790","2023-03-23","7.38","0.13",,"54","44"
"USW00054790","2023-03-24","7.61","0.00",,"56","37"
"USW00054790","2023-03-25","6.04","0.22",,"46","37"
"USW00054790","2023-03-26","7.16","0.00",,"63","37"
"USW00054790","2023-03-27","4.70","0.12",,"57","30"
"USW00054790","2023-03-28","4.25","0.00",,"50","33"
"USW00054790","2023-03-29","8.05","0.00",,"51","31"
"USW00054790","2023-03-30","11.18","0.00",,"45","30"
"USW00054790","2023-03-31","6.71","0.00",,"51","24"
"USW00054790","2023-04-01","12.75","0.47",,"57","50"
"USW00054790","2023-04-02","13.87","0.03",,"53","31"
"USW00054790","2023-04-03","8.72","0.00",,"53","26"
"USW00054790","2023-04-04","6.71","0.00",,"62","42"
"USW00054790","2023-04-05","4.92","0.00",,"56","46"
"USW00054790","2023-04-06","6.71","0.19",,"70","50"
"USW00054790","2023-04-07","9.62","0.04",,"56","41"
"USW00054790","2023-04-08","6.93","0.00",,"51","36"
"USW00054790","2023-04-09","5.59","0.00",,"51","29"
"USW00054790","2023-04-10","6.93","0.00",,"57","30"
"USW00054790","2023-04-11","8.05","0.00",,"68","38"
"USW00054790","2023-04-13","7.16","0.00",,"85","50"
"USW00054790","2023-04-14","6.71","0.00",,"84","52"
"USW00054790","2023-04-15","4.92","0.02",,"67","56"
"USW00054790","2023-04-16","3.80","0.00",,"67","51"
"USW00054790","2023-04-17","6.71","0.00",,"65","52"
"USW00054790","2023-04-18","11.18","0.00",,"59","43"
"USW00054790","2023-04-19","7.83",,,"58","37"
"USW00054790","2023-04-20","4.92","0.00",,"60","40"
"USW00054790","2023-04-21","5.82","0.00",,"64","43"
"USW00054790","2023-04-22","7.16","0.00",,"62","52"
"USW00054790","2023-04-23","8.72","0.74",,"66","47"
"USW00054790","2023-04-24","5.82","0.00",,"58","42"
"USW00054790","2023-04-25","3.58","0.03",,"58","39"
"USW00054790","2023-04-26","5.82","0.00",,"55","35"
"USW00054790","2023-04-27","4.47","0.00",,"54","40"
"USW00054790","2023-04-28","4.70","0.06",,"56","37"
"USW00054790","2023-04-29","7.61","1.70",,"53","49"
"USW00054790","2023-04-30","7.16","0.44",,"62","52"
"USW00054790","2023-05-01","13.87","0.02",,"60","50"
"USW00054790","2023-05-02","8.95","0.16",,"57","45"
"USW00054790","2023-05-03","6.93","0.00",,"57","40"
"USW00054790","2023-05-04","4.92","0.04",,"55","46"
"USW00054790","2023-05-05","4.92","0.00",,"62","41"
"USW00054790","2023-05-06","7.61","0.00",,"72","46"
"USW00054790","2023-05-07","8.05","0.05",,"74","48"
"USW00054790","2023-05-08","7.83","0.00",,"77","53"
"USW00054790","2023-05-09","5.14","0.00",,"65","44"
"USW00054790","2023-05-10","6.71","0.00",,"66","39"
"USW00054790","2023-05-11","6.49","0.00",,"76","45"
"USW00054790","2023-05-12","6.93","0.00",,"85","54"
"USW00054790","2023-05-13","4.92","0.00",,"82","59"
"USW00054790","2023-05-14","7.83","0.00",,"71","48"
"USW00054790","2023-05-15","8.50","0.00",,"71","43"
"USW00054790","2023-05-16","9.62","0.00",,"76","55"
"USW00054790","2023-05-17","12.75","0.00",,"64","46"
"USW00054790","2023-05-18","5.37","0.00",,"58","35"
"USW00054790","2023-05-19","10.51","0.00",,"67","44"
"USW00054790","2023-05-20","8.72","1.08",,"65","57"
"USW00054790","2023-05-21","8.72","0.00",,"71","56"
"USW00054790","2023-05-22","5.59","0.00",,"74","52"
"USW00054790","2023-05-23","4.25","0.00",,"64","44"
"USW00054790","2023-05-24","5.59","0.01",,"70","42"
"USW00054790","2023-05-25","8.72","0.00",,"68","49"
"USW00054790","2023-05-26","6.26","0.00",,"73","45"
"USW00054790","2023-05-27","4.92","0.00",,"75","46"
"USW00054790","2023-05-28","6.26","0.00",,"73","47"
"USW00054790","2023-05-29","6.04","0.00",,"76","50"
"USW00054790","2023-05-30","4.70","0.00",,"66","45"
"USW00054790","2023-05-31","4.47","0.00",,"72","51"
"USW00054790","2023-06-01","3.80","0.00",,"78","51"
"USW00054790","2023-06-02","4.92","0.00",,"80","55"
"USW00054790","2023-06-03","6.71","0.00",,"67","51"
"USW00054790","2023-06-04","7.38","0.00",,"66","48"
"USW00054790","2023-06-05","6.93","0.00",,"73","48"
"USW00054790","2023-06-06","5.59","0.05",,"74","52"
"USW00054790","2023-06-07","6.26","0.00",,"72","50"
"USW00054790","2023-06-08","2.91","0.00",,"72","46"
"USW00054790","2023-06-09","4.25","0.00",,"71","53"
"USW00054790","2023-06-10","8.05","0.00",,"79","54"
"USW00054790","2023-06-11","5.82","0.00",,"78","59"
"USW00054790","2023-06-12","8.72","0.12",,"78","65"
"USW00054790","2023-06-13","7.16","0.00",,"79","61"
"USW00054790","2023-06-14","7.16","0.13",,"74","58"
"USW00054790","2023-06-15","6.49","0.00",,"79","58"
"USW00054790","2023-06-16","3.36","0.31",,"81","57"
"USW00054790","2023-06-17","8.50","0.01",,"78","61"
"USW00054790","2023-06-18","6.93","0.00",,"81","59"
"USW00054790","2023-06-19","5.14","0.00",,"78","61"
"USW00054790","2023-06-20","4.92","0.00",,"73","59"
"USW00054790","2023-06-21","5.59","0.00",,"71","58"
"USW00054790","2023-06-22","6.04","0.02",,"70","59"
"USW00054790","2023-06-23","4.47","0.23",,"69","64"
"USW00054790","2023-06-24","6.93","0.18",,"74","67"
"USW00054790","2023-06-25","4.92","0.00",,"80","66"
"USW00054790","2023-06-26","8.05","0.07",,"79","68"
"USW00054790","2023-06-27","10.51","0.25",,"75","68"
"USW00054790","2023-06-28","5.14","0.08",,"80","69"
"USW00054790","2023-06-29","4.92","0.00",,"80","64"
"USW00054790","2023-06-30","4.47","0.00",,"81","64"
"USW00054790","2023-07-01","5.37","0.00",,"82","62"
"USW00054790","2023-07-02","10.29","0.25",,"80","70"
"USW00054790","2023-07-03","7.16","0.00",,"88","73"
"USW00054790","2023-07-04","4.25","0.16",,"85","69"
"USW00054790","2023-07-05","4.47","0.00",,"88","67"
"USW00054790","2023-07-06","5.82","0.00",,"86","70"
"USW00054790","2023-07-07","4.25","0.00",,"84","71"
"USW00054790","2023-07-08","4.70","0.00",,"84","70"
"USW00054790","2023-07-09","6.71","0.12",,"82","70"
"USW00054790","2023-07-10","7.16","1.94",,"85","68"
"USW00054790","2023-07-11","5.82","0.00",,"89","63"
"USW00054790","2023-07-12","5.82","0.00",,"89","69"
"USW00054790","2023-07-13","9.40","0.00",,"85","71"
"USW00054790","2023-07-14","8.72","0.18",,"81","71"
"USW00054790","2023-07-15","8.50","0.00",,"85","76"
"USW00054790","2023-07-16","9.17","1.67",,"79","74"
"USW00054790","2023-07-17","5.59","0.00",,"86","74"
"USW00054790","2023-07-18","6.26","0.06",,"83","73"
"USW00054790","2023-07-19",,,,"81","68"
"USW00054790","2023-07-20","3.80","0.00",,"85","67"
"USW00054790","2023-07-21","6.71","0.16",,"83","68"
"USW00054790","2023-07-22","6.04","0.00",,"84","67"
"USW00054790","2023-07-23","5.37","0.00",,"87","64"
"USW00054790","2023-07-24","6.49","0.00",,"83","69"
"USW00054790","2023-07-25","6.04","0.12",,"84","66"
"USW00054790","2023-07-26","5.37","0.00",,"85","65"
"USW00054790","2023-07-27","10.96","0.63",,"85","75"
"USW00054790","2023-07-28","5.14","0.00",,"88","73"
"USW00054790","2023-07-29","9.17","0.18",,"86","70"
"USW00054790","2023-07-30","7.61","0.00",,"79","59"
"USW00054790","2023-07-31","4.70","0.00",,"82","57"
"USW00054790","2023-08-01","4.92","0.00",,"80","58"
"USW00054790","2023-08-02","4.25","0.00",,"80","56"
"USW00054790","2023-08-03","7.61","0.00",,"77","56"
"USW00054790","2023-08-04","10.29","0.03",,"79","70"
"USW00054790","2023-08-05","4.70","0.00",,"86","68"
"USW00054790","2023-08-06","4.92","0.00",,"82","63"
"USW00054790","2023-08-07","10.74","0.86",,"80","70"
"USW00054790","2023-08-08","9.84","0.00",,"82","72"
"USW00054790","2023-08-09","10.29","0.00",,"85","69"
"USW00054790","2023-08-10","6.71","0.37",,"80","64"
"USW00054790","2023-08-11","6.04","0.00",,"81","64"
"USW00054790","2023-08-12","6.49","0.10",,"81","62"
"USW00054790","2023-08-13","4.47","0.76",,"87","68"
"USW00054790","2023-08-14","3.80","0.00",,"84","66"
"USW00054790","2023-08-15","4.47","1.44",,"79","68"
"USW00054790","2023-08-16","3.80","0.73",,"81","68"
"USW00054790","2023-08-17","3.80","0.00",,"73","69"
"USW00054790","2023-08-18","8.72","0.09",,"82","67"
"USW00054790","2023-08-19","6.93","0.00",,"78","61"
"USW00054790","2023-08-20","4.92","0.00",,"82","58"
"USW00054790","2023-08-21","3.13","0.00",,"88","68"
"USW00054790","2023-08-22","6.71","0.00",,"78","62"
"USW00054790","2023-08-23","5.37","0.00",,"76","59"
"USW00054790","2023-08-24","6.26","0.06",,"73","63"
"USW00054790","2023-08-25","9.62","0.22",,"73","69"
"USW00054790","2023-08-26","2.91","0.07",,"85","68"
"USW00054790","2023-08-27","5.37","0.00",,"83","64"
"USW00054790","2023-08-28","2.24","0.00",,"73","65"
"USW00054790","2023-08-29","2.01","0.03",,"79","66"
"USW00054790","2023-08-30","7.61","0.04",,"82","68"
"USW00054790","2023-08-31","8.95","0.00",,"76","59"
"USW00054790","2023-09-01","4.03","0.00",,"75","54"
"USW00054790","2023-09-02","6.49","0.00",,"75","51"
"USW00054790","2023-09-03","4.70","0.00",,"84","67"
"USW00054790","2023-09-04","2.24","0.00",,"89","65"
"USW00054790","2023-09-05","3.58","0.00",,"92","70"
"USW00054790","2023-09-06","5.59","0.00",,"93","74"
"USW00054790","2023-09-07","4.92","0.00",,"93","71"
"USW00054790","2023-09-08","8.28","0.00",,"84","75"
"USW00054790","2023-09-09","6.71","0.00",,"86","76"
"USW00054790","2023-09-10","5.37","0.19",,"82","70"
"USW00054790","2023-09-11","2.24","0.69",,"83","69"
"USW00054790","2023-09-12","3.36","0.00",,"83","67"
"USW00054790","2023-09-13","5.37","0.02",,"81","67"
"USW00054790","2023-09-14","8.28","0.00",,"78","63"
"USW00054790","2023-09-15","12.53","0.00",,"71","60"
"USW00054790","2023-09-16","8.50","0.00",,"73","53"
"USW00054790","2023-09-17","5.37","0.00",,"74","50"
"USW00054790","2023-09-18","4.92","1.14",,"70","60"
"USW00054790","2023-09-19","8.50","0.00",,"74","54"
"USW00054790","2023-09-20","4.70","0.00",,"73","51"
"USW00054790","2023-09-21","3.13","0.00",,"73","51"
"USW00054790","2023-09-22","4.25","0.00",,"72","52"
"USW00054790","2023-09-23","7.16","0.53",,"63","59"
"USW00054790","2023-09-24","5.82","0.62",,"64","62"
"USW00054790","2023-09-25",,"0.72",,"63","57"
"USW00054790","2023-09-26","4.70","0.12",,"61","52"
"USW00054790","2023-09-27","3.80","0.00",,"67","49"
"USW00054790","2023-09-28","4.70","0.01",,"69","50"
"USW00054790","2023-09-29","6.71","0.88",,"62","59"
"USW00054790","2023-09-30","8.72","0.28",,"61","57"
"USW00054790","2023-10-01","4.70","0.00",,"76","56"
"USW00054790","2023-10-02","3.13","0.00",,"77","52"
"USW00054790","2023-10-03","3.80","0.00",,"76","48"
"USW00054790","2023-10-04","2.46","0.00",,"82","59"
"USW00054790","2023-10-05","3.58","0.00",,"74","52"
"USW00054790","2023-10-06","3.80","0.00",,"75","63"
"USW00054790","2023-10-07","8.72","0.12",,"70","55"
"USW00054790","2023-10-08","8.50","0.00",,"64","49"
"USW00054790","2023-10-09","5.14","0.00",,"62","45"
"USW00054790","2023-10-10","3.36","0.03",,"66","47"
"USW00054790","2023-10-11","3.58","0.00",,"69","47"
"USW00054790","2023-10-12","2.91","0.00",,"69","46"
"USW00054790","2023-10-13","7.16","0.00",,"63","46"
"USW00054790","2023-10-14","2.01","0.27",,"57","46"
"USW00054790","2023-10-15","9.17","0.02",,"62","44"
"USW00054790","2023-10-16","5.37","0.00",,"64","42"
"USW00054790","2023-10-17","2.24","0.00",,"65","45"
"USW00054790","2023-10-18","2.01","0.07",,"67","45"
"USW00054790","2023-10-19","4.03","0.00",,"64","43"
"USW00054790","2023-10-20","5.59","0.54",,"65","47"
"USW00054790","2023-10-21","10.74","0.12",,"62","57"
"USW00054790","2023-10-22","11.86","0.00",,"59","46"
"USW00054790","2023-10-23","8.05","0.00",,"62","40"
"USW00054790","2023-10-24","4.92","0.00",,"63","37"
"USW00054790","2023-10-25","7.61","0.00",,"68","52"
"USW00054790","2023-10-26","4.47","0.00",,"75","52"
"USW00054790","2023-10-27","4.70","0.00",,"71","53"
"USW00054790","2023-10-28","5.37","0.00",,"82","57"
"USW00054790","2023-10-29","4.03","0.12",,"63","52"
"USW00054790","2023-10-30","7.61","0.35",,"64","50"
"USW00054790","2023-10-31","4.92","0.00",,"53","42"
"USW00054790","2023-11-01","6.71","0.09",,"48","35"
"USW00054790","2023-11-02","2.24","0.00",,"50","28"
"USW00054790","2023-11-03","6.04","0.00",,"55","30"
"USW00054790","2023-11-04","3.36","0.00",,"60","41"
"USW00054790","2023-11-05","3.58","0.00",,"67","39"
"USW00054790","2023-11-06","3.58","0.00",,"57","41"
"USW00054790","2023-11-07","8.05","0.01",,"66","54"
"USW00054790","2023-11-08","9.84","0.00",,"54","40"
"USW00054790","2023-11-09","3.36","0.00",,"60","34"
"USW00054790","2023-11-10","4.25","0.00",,"53","38"
"USW00054790","2023-11-11","6.26","0.00",,"55","36"
"USW00054790","2023-11-12","3.13","0.00",,"45","26"
"USW00054790","2023-11-13","2.01","0.00",,"46","24"
"USW00054790","2023-11-14","7.61","0.00",,"55","31"
"USW00054790","2023-11-15","4.92","0.00",,"51","28"
"USW00054790","2023-11-16","4.70","0.00",,"63","40"
"USW00054790","2023-11-17","6.49","0.00",,"64","38"
"USW00054790","2023-11-18","9.62","0.04",,"59","33"
"USW00054790","2023-11-19","6.71","0.00",,"56","28"
"USW00054790","2023-11-20","5.14","0.00",,"45","28"
"USW00054790","2023-11-21","7.61","0.35",,"47","28"
"USW00054790","2023-11-22","10.74","1.00",,"59","46"
"USW00054790","2023-11-23","8.95","0.00",,"53","35"
"USW00054790","2023-11-24","8.50","0.00",,"52","32"
"USW00054790","2023-11-25","6.49","0.00",,"40","22"
"USW00054790","2023-11-26","6.49","0.23",,"54","21"
"USW00054790","2023-11-27","10.96","0.05",,"56","38"
"USW00054790","2023-11-28","13.87","0.00",,"41","32"
"USW00054790","2023-11-29","8.28","0.00",,"39","25"
"USW00054790","2023-11-30","7.83","0.00",,"49","27"
"USW00054790","2023-12-01","4.92","0.25",,"52","36"
"USW00054790","2023-12-02","4.25","0.00",,"52","47"
"USW00054790","2023-12-03","4.70","0.77",,"51","46"
"USW00054790","2023-12-04","7.16","0.00",,"55","40"
"USW00054790","2023-12-05","6.49","0.00",,"44","38"
"USW00054790","2023-12-06","8.05","0.00",,"42","32"
"USW00054790","2023-12-07","5.37","0.00",,"40","23"
"USW00054790","2023-12-08","2.01","0.00",,"47","25"
"USW00054790","2023-12-09","4.03","0.00",,"57","33"
"USW00054790","2023-12-10","12.08","1.10",,"60","48"
"USW00054790","2023-12-11","15.88","0.93",,"59","37"
"USW00054790","2023-12-12","7.83","0.00",,"43","29"
"USW00054790","2023-12-13","9.40","0.00",,"47","31"
"USW00054790","2023-12-14","6.26","0.00",,"39","26"
"USW00054790","2023-12-15","6.93","0.00",,"56","33"
"USW00054790","2023-12-16","4.25","0.00",,"55","30"
"USW00054790","2023-12-17","7.38","0.36",,"57","47"
"USW00054790","2023-12-18","16.55","1.14",,"63","41"
"USW00054790","2023-12-19","10.29","0.00",,"46","32"
"USW00054790","2023-12-20","11.63","0.00",,"44","30"
"USW00054790","2023-12-21","10.51","0.00",,"42","26"
"USW00054790","2023-12-22","2.46","0.00",,"37","21"
"USW00054790","2023-12-23","1.12","0.00",,"44","20"
"USW00054790","2023-12-24","2.24","0.00",,"51","39"
"USW00054790","2023-12-25","2.91","0.00",,"55","35"
"USW00054790","2023-12-26","1.12","0.00",,"47","33"
"USW00054790","2023-12-27","2.24","0.03",,"51","42"
"USW00054790","2023-12-28","7.83","2.22",,"53","45"
"USW00054790","2023-12-29","4.25","0.00",,"54","44"
"USW00054790","2023-12-30","7.61","0.00",,"48","35"
"USW00054790","2023-12-31","3.80","0.00",,"42","29"
